sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0xa5       | DISK17           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa6       | DISK18           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa7       | DISK19           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa8       | DISK20           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa9       | DISK21           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xaa       | DISK22           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xab       | DISK23           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xac       | DISK24           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xad       | DISK40           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xae       | DISK41           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xaf       | DISK42           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb0       | PS1 Status       | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xb1       | PS1 Fan Status   | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb2       | PS1 Temp Status  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb3       | PS2 Status       | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xb4       | PS2 Fan Status   | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb5       | PS2 Temp Status  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb6       | OAMPort1_1 Link  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb7       | OAMPort2_1 Link  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb8       | OAMPort1_4 Link  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb9       | OAMPort2_4 Link  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    

********** Detailed Voltage Object Information **********
name                             | value     
rtc_volt_monitor                 | 199       
vcc_3v3_monitor                  | 165       
VPP_2V5_ABC_monitor              | 129       
VPP_2V5_DEF_monitor              | 128       
VPP_2V5_GHJ_monitor              | 128       
VPP_2V5_KLM_monitor              | 128       
vcc_5v0_monitor                  | 173       
vcc_12v0_monitor                 | 201       
vcc_12v0_monitor2                | 202       
cpu1_volt_monitor                | 176       
cpu2_volt_monitor                | 177       
cpu1mem012_volt_monitor          | 122       
cpu1mem345_volt_monitor          | 122       
cpu2mem012_volt_monitor          | 122       
cpu2mem345_volt_monitor          | 122       
cpu1_vsa_volt_monitor            | 88        
cpu2_vsa_volt_monitor            | 88        
cpu1_vccio_volt_monitor          | 99        
cpu2_vccio_volt_monitor          | 99        
pch_vpvnn_volt_monitor           | 99        
pch_prim_volt_monitor            | 104       
